epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,143,,,,0.2852129638195038,0.3020884096622467,0.18181905150413513
0,143,0.2026110738515854,0.29077595472335815,0.11822306364774704,,,
1,287,,,,0.38049015402793884,0.3682963252067566,0.27610039710998535
1,287,0.3590094745159149,0.4892209470272064,0.24641652405261993,,,
2,431,,,,0.47534310817718506,0.43994438648223877,0.3573662042617798
2,431,0.45357194542884827,0.558678925037384,0.33261775970458984,,,
3,575,,,,0.5246363878250122,0.48486146330833435,0.40903276205062866
3,575,0.5230163931846619,0.6064022183418274,0.39792922139167786,,,
4,719,,,,0.5224980115890503,0.4954736530780792,0.4100828468799591
4,719,0.5654664039611816,0.6318893432617188,0.4408448338508606,,,
5,863,,,,0.567439079284668,0.5226123929023743,0.4498879909515381
5,863,0.5896626114845276,0.6527063846588135,0.4645434021949768,,,
6,1007,,,,0.5519567728042603,0.5165348649024963,0.4417238235473633
6,1007,0.6007868647575378,0.6560947895050049,0.47854724526405334,,,
7,1151,,,,0.5668311715126038,0.5228538513183594,0.45179516077041626
7,1151,0.6128994822502136,0.6684362292289734,0.49073559045791626,,,
8,1295,,,,0.5699787139892578,0.5265274047851562,0.4541584253311157
8,1295,0.6174544095993042,0.6749499440193176,0.4939576983451843,,,
9,1439,,,,0.5791296362876892,0.5231983065605164,0.4624508023262024
9,1439,0.6291583776473999,0.6853806376457214,0.5084270238876343,,,
10,1583,,,,0.5847544074058533,0.5282708406448364,0.46744686365127563
10,1583,0.6211006045341492,0.6808373332023621,0.5003385543823242,,,
11,1727,,,,0.5853395462036133,0.5357165932655334,0.467781662940979
11,1727,0.6360190510749817,0.690950334072113,0.5169417858123779,,,
12,1871,,,,0.5931239724159241,0.5371896028518677,0.47509825229644775
12,1871,0.6399089097976685,0.6933655142784119,0.5191811323165894,,,
13,2015,,,,0.5874663591384888,0.5285550355911255,0.46956226229667664
13,2015,0.6424921154975891,0.694907009601593,0.5227715969085693,,,
14,2159,,,,0.5826928019523621,0.535617470741272,0.46440520882606506
14,2159,0.6429204344749451,0.6915795207023621,0.522689163684845,,,
15,2303,,,,0.5965003371238708,0.5322696566581726,0.4732002913951874
15,2303,0.6196423172950745,0.6788421869277954,0.494320809841156,,,
16,2447,,,,0.5914257168769836,0.5360890626907349,0.46293196082115173
16,2447,0.6391107439994812,0.6858751773834229,0.5159296989440918,,,
17,2591,,,,0.6046858429908752,0.5504769682884216,0.47980237007141113
17,2591,0.6437493562698364,0.6790123581886292,0.5124481320381165,,,
18,2735,,,,0.6349385380744934,0.5752049088478088,0.5030399560928345
18,2735,0.6701028943061829,0.6873099207878113,0.5355307459831238,,,
19,2879,,,,0.6261090636253357,0.5718724727630615,0.49222713708877563
19,2879,0.6962212920188904,0.6980188488960266,0.5563393831253052,,,
20,3023,,,,0.658649742603302,0.5942924618721008,0.5231177806854248
20,3023,0.7086089253425598,0.699625551700592,0.5705243349075317,,,
21,3167,,,,0.6492922306060791,0.6123327016830444,0.5115334391593933
21,3167,0.7104460000991821,0.702181339263916,0.5714827179908752,,,
22,3311,,,,0.66689133644104,0.6166649460792542,0.5324093103408813
22,3311,0.7213024497032166,0.710472583770752,0.583062469959259,,,
23,3455,,,,0.6370593905448914,0.5905687212944031,0.5053523778915405
23,3455,0.7285956144332886,0.7197169065475464,0.5919426679611206,,,
24,3599,,,,0.6457057595252991,0.5790676474571228,0.510172426700592
24,3599,0.7297330498695374,0.7145259380340576,0.5923024415969849,,,
25,3743,,,,0.6380939483642578,0.5922195315361023,0.5081488490104675
25,3743,0.7240520119667053,0.7142347693443298,0.5864896774291992,,,
26,3887,,,,0.6593472957611084,0.5945169925689697,0.5249491930007935
26,3887,0.7305500507354736,0.71762615442276,0.5927663445472717,,,
27,4031,,,,0.6644111275672913,0.621268630027771,0.529271125793457
27,4031,0.7371209859848022,0.723362147808075,0.6015005111694336,,,
28,4175,,,,0.6675902009010315,0.6156641840934753,0.53245609998703
28,4175,0.7393434643745422,0.7222567200660706,0.6044222712516785,,,
29,4319,,,,0.6862809658050537,0.6452222466468811,0.5489795804023743
29,4319,0.7437224984169006,0.7281824350357056,0.6095523834228516,,,
30,4463,,,,0.664446234703064,0.6187641620635986,0.526891827583313
30,4463,0.7465997934341431,0.7322254776954651,0.6120287775993347,,,
31,4607,,,,0.6758613586425781,0.6438674926757812,0.5441490411758423
31,4607,0.750272810459137,0.7329071164131165,0.6165375709533691,,,
32,4751,,,,0.6832809448242188,0.6278170347213745,0.5481206774711609
32,4751,0.7597233653068542,0.7370418906211853,0.6276962757110596,,,
33,4895,,,,0.6943850517272949,0.6565815210342407,0.5587790608406067
33,4895,0.7628160119056702,0.7387988567352295,0.6319637894630432,,,
34,5039,,,,0.6924874782562256,0.6600489616394043,0.5586166381835938
34,5039,0.7578660845756531,0.74400794506073,0.6264514923095703,,,
35,5183,,,,0.7049522399902344,0.6660658717155457,0.5692347884178162
35,5183,0.760741651058197,0.7428376078605652,0.6284801363945007,,,
36,5327,,,,0.7011487483978271,0.6684828996658325,0.5642439126968384
36,5327,0.7638349533081055,0.7429657578468323,0.6333270072937012,,,
37,5471,,,,0.7090025544166565,0.6704959273338318,0.5727841854095459
37,5471,0.7682610154151917,0.7508410215377808,0.6385045051574707,,,
38,5615,,,,0.7223362922668457,0.6817654967308044,0.5867823958396912
38,5615,0.77163165807724,0.7500109076499939,0.6422601938247681,,,
39,5759,,,,0.7162875533103943,0.6773737072944641,0.5802162289619446
39,5759,0.771369218826294,0.7525277733802795,0.642376184463501,,,
